TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
07-06-1992,25,31.2,,,1.3,3.7,,,1,SE
08-06-1992,25,32.1,,,0,4.6,,,0,SW
09-06-1992,25,33.2,,,0,5.8,,,1,NE
10-06-1992,26,32.6,,,0,5.9,,,1,E
11-06-1992,25,34,,,0,4.2,,,1,S
12-06-1992,24,32.3,,,1.9,4.5,,,0,N
13-06-1992,24,32.4,,,0,3,,,1,N
14-06-1992,25,32.8,,,0,1.5,,,1,N
15-06-1992,25,32.5,,,0,6.6,,,0,NE
16-06-1992,25,33.4,,,0,6.5,,,0,SE
17-06-1992,25,32.5,,,0,4.2,,,1,N
18-06-1992,25,33.7,,,0,6,,,1,NE
19-06-1992,25,32.8,,,0,6.2,,,1,NE
20-06-1992,26,30.6,,,0,2.5,,,1,E
21-06-1992,24,33.5,,,0,0,,,1,NE
22-06-1992,25,34.1,,,0,0.9,,,1,N
23-06-1992,25,32.8,,,0,0.7,,,1,N
24-06-1992,24,33.2,,,0,0,,,0,NE
25-06-1992,25,32.8,,,0,4.9,,,0,N
26-06-1992,24,33,,,10.8,5.1,,,0,NW
27-06-1992,24,33.1,,,0,1.3,,,0,N
28-06-1992,25,32.8,,,1.4,1.3,,,2,NW
29-06-1992,23,33.2,,,0,3.1,,,1,E
30-06-1992,25,33,,,0,5.9,,,2,E
01-07-1992,25,33.3,28.5,71,0,5.5,6,310,3,E
02-07-1992,26,33.4,29.3,71,0,5.5,5,80,3,E
03-07-1992,25,32.1,27.8,76,0,7,5,110,1,NE
04-07-1992,25,31.2,27.4,81,0,4.3,3,330,1,N
05-07-1992,25,33.1,27.8,73,0,1.5,4,60,2,E
06-07-1992,25,33.7,29.1,78,0,5,6,70,3,E
07-07-1992,25,30.2,27.4,82,0,3,5,90,3,E
08-07-1992,23,32.6,27.4,72,0,0,6,50,3,E
09-07-1992,24,32.4,27.3,74,0,5.8,6,90,2,E
10-07-1992,25,34,28.2,71,0,7,6,50,3,E
11-07-1992,25,33.2,28.7,71,0,5.5,5,90,2,E
12-07-1992,23,33.2,28.1,76,8.4,7.8,5,350,2,E
13-07-1992,24,31,26.7,81,0,1.5,3,120,2,S
14-07-1992,23,31,26.8,79,0,2,4,80,2,E
15-07-1992,24,32,27.5,67,0,2.7,5,110,2,E
16-07-1992,24,32.6,27.7,68,0,3.5,4,70,2,E
17-07-1992,23,33.4,27.6,67,0,7.5,5,60,2,E
18-07-1992,24,33.2,28.6,73,0,7.3,6,80,3,E
19-07-1992,25,31.8,28.6,78,0,7.1,5,350,2,E
20-07-1992,23,31.3,27.5,72,0,7.7,4,60,2,E
21-07-1992,23,33.4,26.8,71,0,3.8,3,60,2,E
22-07-1992,24,32.6,28.6,72,0,4.3,4,350,2,N
23-07-1992,24,32.7,27.8,68,8888,6,5,350,2,N
24-07-1992,24,33.3,28.6,71,0,6.5,5,40,2,NE
25-07-1992,24,32.8,28.1,71,0,6.6,5,80,3,E
26-07-1992,24,32.8,27.8,73,0,8,6,110,3,E
27-07-1992,24,33.4,28.3,69,0,7.7,5,90,3,E
28-07-1992,25,33,28.4,69,0,7.8,5,90,2,E
29-07-1992,24,32.2,27.1,79,3.4,8,4,10,2,SW
30-07-1992,24,33.5,28.8,72,0,1.8,6,80,2,E
31-07-1992,24,31.9,28.6,73,0,8,5,340,3,N
01-08-1992,25,32.8,28.2,72,0,8,5,70,3,E
02-08-1992,24,31.8,28.1,71,0,6.9,7,70,3,E
03-08-1992,25,32.4,28.5,71,0,5.4,5,100,2,E
04-08-1992,23,32.4,27.2,80,70,3,4,350,2,NE
05-08-1992,23,32.8,27.7,76,8888,4.5,6,360,2,N
06-08-1992,23,32.8,28.5,72,0,3.5,5,350,2,N
07-08-1992,24,33.2,28.1,70,0,6,6,70,3,E
08-08-1992,24,32.8,27.6,74,0,7.8,3,350,2,N
09-08-1992,25,31.4,28.3,74,0,6.3,4,60,1,N
10-08-1992,25,31.8,28.2,72,0,7,4,340,1,SE
11-08-1992,24,33.4,29.1,71,0,5.5,6,90,2,N
12-08-1992,24,33.2,28.8,74,0,7.3,5,-,3,NE
13-08-1992,24,32.7,27.5,70,0,8,4,40,2,NE
14-08-1992,24,32.8,27.4,70,0,8,3,340,2,N
15-08-1992,25,31.8,27.9,67,0.4,7.8,5,350,2,N
16-08-1992,25,31.8,28.2,69,0,7,5,350,1,N
17-08-1992,25,32.2,28.4,70,0,8,6,20,2,N
18-08-1992,24,32.7,28.3,67,0,5.5,5,340,3,N
19-08-1992,25,31,27.4,71,0,8,4,360,3,N
20-08-1992,24,31,27.8,71,0,2.7,5,80,2,NE
21-08-1992,24,31.6,27.8,78,4.9,4.8,4,30,2,NE
22-08-1992,23,31.8,27.6,76,98.3,1.7,5,30,2,NE
23-08-1992,23,31.6,26.5,76,8888,4.5,4,-,2,N
24-08-1992,24,31.2,28.1,74,18.2,1.8,5,340,2,N
25-08-1992,23,32.2,27.4,82,8888,4,4,120,2,SE
26-08-1992,23,31.4,26.8,74,0.8,0.9,5,80,2,E
27-08-1992,24,31.6,27.6,72,0,3.8,5,70,2,E
28-08-1992,23,28.7,26.3,88,24.3,3.3,3,200,1,E
29-08-1992,23,31.1,26.8,75,8888,0,5,110,2,SE
30-08-1992,23,30.9,27.7,76,8888,0.3,4,320,3,N
31-08-1992,23,32.3,27.2,74,8888,5.7,5,350,2,N
01-09-1992,23,32.2,26.8,85,12.8,6.8,3,210,1,SW
02-09-1992,24,31.2,27.3,78,15,3.3,3,320,1,N
03-09-1992,25,30.8,27.3,81,6,6.5,3,230,0,SW
04-09-1992,23,31.7,27.1,78,8888,0,5,240,2,SW
05-09-1992,22,31.7,27,77,32.8,0.2,5,350,2,N
06-09-1992,25,31.8,27.2,82,8888,3.7,4,90,2,SW
07-09-1992,23,31.4,26.1,80,5.4,1.3,5,90,1,E
08-09-1992,26,31,27.5,75,0,1.8,3,350,1,N
09-09-1992,25,32.2,28.4,74,0,2.5,5,350,2,N
10-09-1992,25,33.7,28.5,77,1.1,4.2,5,50,2,NE
11-09-1992,24,33.2,27.9,72,3.8,7.8,7,120,2,N
12-09-1992,24,30.6,26.4,78,0,2.8,4,270,2,N
13-09-1992,24,31.4,27.4,74,0,2.8,4,270,1,N
14-09-1992,25,30.2,27.5,79,0,1.5,3,10,1,N
15-09-1992,24,33.8,28.8,69,0,0.5,5,90,3,E
16-09-1992,25,33.1,28.4,75,0,8,4,30,2,NW
17-09-1992,25,32.4,28.7,75,2.6,8,4,350,2,N
18-09-1992,24,32,27.7,71,0,6.7,4,340,2,E
19-09-1992,24,31.1,27.7,72,0.2,3,4,20,2,N
20-09-1992,25,31.6,27.2,79,0.6,3.5,3,330,2,N
21-09-1992,25,31.9,28.5,80,0.6,3,4,360,2,N
22-09-1992,25,34,28.9,76,8888,3.1,6,100,3,NE
23-09-1992,26,33.9,29.4,72,0,3.7,6,110,3,E
24-09-1992,25,33.4,28.1,71,0,7.5,7,350,3,N
25-09-1992,24,31.7,25.5,86,0,4.3,4,10,1,E
26-09-1992,24,32.2,28,74,6,2.8,4,20,2,N
27-09-1992,24,31.6,27.4,76,0,4.6,4,300,2,N
28-09-1992,24,34.2,28.7,76,0,3.3,6,50,2,NE
29-09-1992,25,34.2,28.2,74,0,8,5,350,2,N
30-09-1992,25,33.2,27.9,73,9.7,8,4,350,3,E
01-10-1992,24,29.2,26.8,79,57,2.6,5,360,1,N
02-10-1992,24,29.9,25.6,92,41.1,0,3,330,0,N
03-10-1992,23,30.1,26.4,83,27,1.4,4,360,1,N
04-10-1992,24,31.9,27.6,79,0,1,5,360,2,N
05-10-1992,23,31.5,27.6,77,0,1.3,4,350,2,N
06-10-1992,24,32.1,27.8,74,6,4.6,5,360,2,N
07-10-1992,23,31.8,27,74,0.2,6,5,330,2,N
08-10-1992,24,31.1,26.5,89,47,2.8,3,340,1,N
09-10-1992,24,30.6,27.6,75,0.5,0,4,90,1,E
10-10-1992,24,31.6,27.6,77,0.3,0,4,270,1,W
11-10-1992,24,31.5,27.8,78,0,1.4,4,210,2,N
12-10-1992,24,32.6,27.5,82,13.2,2.6,4,140,2,S
13-10-1992,23,32.2,27.7,76,3,4.1,4,290,2,NW
14-10-1992,25,33.2,27.6,77,0.5,5.3,4,360,1,N
15-10-1992,25,33.4,29,72,0,5.4,5,110,3,SE
16-10-1992,25,31.4,27.8,76,8888,5,7,340,2,N
17-10-1992,25,32.4,28.2,75,0,1,4,350,2,N
18-10-1992,24,30.8,27,88,58.4,7,4,190,1,SE
19-10-1992,24,31.1,27.7,78,1.2,0,3,340,0,N
20-10-1992,26,33.4,28.5,68,0,2.3,4,20,2,N
21-10-1992,25,31.2,27.9,72,1.2,4.5,4,350,2,NW
22-10-1992,26,31,28,70,0,1.8,4,30,2,N
23-10-1992,25,32.4,28.2,73,0,3,5,20,2,S
24-10-1992,24,30.9,27.8,74,0.5,5.8,4,250,2,W
25-10-1992,25,31.4,27.9,74,0,0.5,3,260,2,SW
26-10-1992,24,32.1,27.3,75,13.1,3.4,3,290,1,W
27-10-1992,24,32.1,27,74,1.4,1.8,4,280,1,W
28-10-1992,24,32.2,26.5,75,10.3,1,5,340,2,N
29-10-1992,24,30.2,27.3,80,0.5,3.4,3,350,0,N
30-10-1992,24,30.8,27.5,74,0,0,6,310,2,W
31-10-1992,24,29.1,26.5,78,8888,1,3,150,2,SE
01-11-1992,22,30.6,26.7,83,73.4,0,5,320,2,NW
02-11-1992,23,30.2,25.7,81,42.4,1.1,4,340,1,N
03-11-1992,24,30.4,27.3,80,8888,0,3,350,1,N
04-11-1992,21,32.1,28.3,78,0.5,4.1,5,330,2,N
05-11-1992,24,31.6,27.3,71,0,0.5,4,350,1,N
06-11-1992,25,32.9,27.8,72,0,2.6,4,350,2,N
07-11-1992,23,31.6,27.5,76,0.8,4.3,4,340,2,N
08-11-1992,24,30.8,27.4,80,7.6,1.3,4,120,1,E
09-11-1992,24,30.5,27.7,74,6.6,1.5,5,340,2,N
10-11-1992,24,30.8,26.8,75,0.9,1.8,4,10,1,N
11-11-1992,24,32.6,27.4,76,0,0,4,340,2,NW
12-11-1992,24,32.8,27.7,76,0,5.3,4,340,2,N
13-11-1992,24,31.6,28,72,0,5.3,3,340,1,N
14-11-1992,25,32.8,28.4,76,0,3.2,4,340,2,N
15-11-1992,25,32.1,28.3,78,0,5.4,4,350,2,N
16-11-1992,25,32,28.4,76,0,1.3,4,20,3,W
17-11-1992,24,31.8,27.5,78,9,6.2,5,320,2,W
18-11-1992,24,30.1,27.5,76,0.5,2.8,3,350,0,N
19-11-1992,25,31.4,28,79,0,0,4,20,2,N
20-11-1992,24,33.2,27.9,78,27.4,3.7,3,260,1,SE
21-11-1992,25,32.2,27.6,76,1.3,2.2,5,350,3,N
22-11-1992,24,32.1,26.7,85,2.3,1.8,5,340,1,N
23-11-1992,24,31.4,26.7,79,0.8,0.5,5,350,3,N
24-11-1992,25,30.1,27.2,76,0,1.8,4,350,1,N
25-11-1992,24,30.8,27.6,81,1.2,0,9,270,2,W
26-11-1992,24,31.7,27.2,73,0,2,5,270,2,W
27-11-1992,24,31.6,28,74,0,4.2,5,290,3,W
28-11-1992,25,31.1,27.8,74,0.1,0,4,360,2,N
29-11-1992,24,31.4,26,83,26.8,5.4,4,270,2,W
30-11-1992,25,29.1,26.7,81,8888,0,4,290,2,W
01-12-1992,23,29,26.6,84,84.8,0,4,360,2,N
02-12-1992,23,30,25.9,80,53,0,4,300,2,W
03-12-1992,24,29.8,25.9,83,2.4,1.4,7,260,3,W
04-12-1992,25,31.9,26.8,78,0,0,5,310,2,NW
05-12-1992,23,31.5,27.1,72,1.8,2.5,5,240,3,W
06-12-1992,24,31.8,27.5,72,0,2.2,3,270,1,W
07-12-1992,25,32.8,28.5,74,0,1.7,4,220,2,SW
08-12-1992,25,32.4,28,72,0,4,5,290,2,W
09-12-1992,25,31.4,28.1,72,0,3.3,5,20,2,NW
10-12-1992,25,28.9,26.5,84,5.1,3.3,4,310,0,NW
11-12-1992,24,32.2,27.2,77,1.8,0,5,280,2,W
12-12-1992,24,33.1,27.5,76,5.3,3.3,4,220,1,SW
13-12-1992,24,32.8,27.8,76,3.4,3.6,4,330,2,NW
14-12-1992,24,30.1,26.1,83,28.7,0,4,290,2,W
15-12-1992,23,32.2,26.6,82,13.9,1.1,4,290,3,W
16-12-1992,25,30.1,26.7,74,0,1,4,290,2,W
17-12-1992,24,31.8,27.6,75,0,2,4,270,3,W
18-12-1992,25,31.2,28,72,8888,1.3,3,270,2,W
19-12-1992,25,30.3,27.5,80,0,6.2,4,290,2,W
20-12-1992,25,30.8,28,79,0.4,0,3,330,2,N
21-12-1992,24,31.9,27.8,75,1.2,3.3,4,340,2,W
22-12-1992,24,33.5,27.4,66,0,3.3,5,270,2,N
23-12-1992,24,32.4,27.4,70,0,8,3,280,3,W
24-12-1992,24,33.4,28.5,72,1.5,7.8,4,270,2,W
25-12-1992,24,33.6,28.4,72,0,7.4,4,270,2,W
